TyreLife,compound_encoded,lap_time_delta,deg_rate,GapToAhead,GapToBehind,laps_remaining,fuel_adjusted_laptime,pit_window_open,safety_car_active,TrackTemp,Position,pit_decision
20.0,0,0.42199999999999704,-0.11800000000000643,1.722,16.379,24.0,90.72,0,0,32.7,16,0
21.0,0,0.23099999999999454,-0.05000000000000764,4.051,17.218,23.0,90.559,1,0,32.7,15,0
22.0,0,0.37300000000000466,-0.024500000000002093,4.656,12.521,22.0,90.73100000000001,1,0,32.6,14,0
23.0,0,0.3960000000000008,0.08250000000000686,5.448,11.197,21.0,90.784,1,0,32.6,14,0
24.0,0,0.23199999999999932,-0.0705000000000128,5.926,9.921,20.0,90.65,1,0,32.6,14,0
25.0,0,0.27299999999999613,-0.061500000000002004,5.993,5.877,19.0,90.721,1,0,32.6,13,0
26.0,0,0.36700000000000443,0.06750000000000579,6.63,3.981,18.0,90.845,1,0,32.7,13,0
27.0,0,0.472999999999999,0.09999999999999638,4.224,2.252,17.0,90.981,1,0,32.4,13,0
28.0,0,0.527000000000001,0.07999999999999177,6.149,0.808,16.0,91.065,1,0,32.4,13,0
29.0,0,1.2620000000000005,0.3944999999999973,1.753,2.649,15.0,91.83,1,0,32.4,14,0
30.0,0,0.40800000000000125,-0.059499999999997874,2.652,1.441,14.0,91.006,1,0,32.4,14,0
31.0,0,0.48399999999999466,-0.38900000000000823,3.872,0.699,13.0,91.112,1,0,32.3,13,0
32.0,0,1.6069999999999993,0.5994999999999906,1.03,15.753,12.0,92.265,1,0,32.1,14,0
33.0,0,0.8329999999999984,0.17450000000000326,1.905,16.772,11.0,91.521,1,0,32.0,14,0
34.0,0,0.6140000000000043,-0.4964999999999977,2.413,15.877,10.0,91.33200000000001,1,0,32.1,14,0
35.0,0,0.6359999999999957,-0.09849999999999906,2.272,14.806,9.0,91.384,1,0,32.3,14,0
36.0,0,0.5799999999999983,-0.017000000000005695,1.945,13.431,8.0,91.358,1,0,31.9,14,0
37.0,0,1.7000000000000028,0.5320000000000009,2.099,10.822,7.0,92.50800000000001,1,0,32.0,14,0
38.0,0,1.730000000000004,0.5750000000000071,1.38,9.897,6.0,92.568,1,0,32.0,14,0
39.0,0,1.6530000000000058,-0.02349999999999574,1.528,6.826,5.0,92.521,1,0,31.9,14,0
40.0,0,2.1189999999999998,0.19449999999999745,1.84,4.111,4.0,93.017,1,0,31.9,14,0
41.0,0,2.826999999999998,0.5869999999999854,0.589,0.673,3.0,93.755,1,0,31.9,14,0
42.0,0,3.174999999999997,0.5279999999999976,1.205,11.256,2.0,94.133,1,0,31.9,14,0
